behavior,mean,max,login,search,create_search,edit_search,delete_search,close_opportunity,advance_stage,add_competition,revert_stage,lose_opportunity,quote,create_opportunity,add_contact,edit_contact,add_lead,unsub_lead,edit_lead,email_lead,call_lead,create_list,delete_list,email_list,hold_meeting,schedule_meeting,edit_meeting,cancel_meeting,users,close_opportunity_value
login,30,150,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
search,10,200,0.5,1,0.8,0.7,0.6,0.5,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
create_search,3,200,0.5,0.8,1,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
edit_search,3,200,0.5,0.7,0.7,1,0.6,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
delete_search,1,200,0.5,0.6,0.6,0.6,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
close_opportunity,3,10,0.5,0.5,0.5,0.4,0.3,1,0.7,0.7,0.5,0.6,0.6,0.6,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3
advance_stage,20,100,0.5,0.4,0.4,0.4,0.3,0.7,1,0.7,0.5,0.6,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3
add_competition,20,100,0.5,0.5,0.4,0.3,0.3,0.7,0.7,1,0.5,0.6,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3
revert_stage,10,50,0.5,0.4,0.4,0.3,0.3,0.5,0.5,0.5,1,0.6,0.4,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
lose_opportunity,7,40,0.5,0.4,0.4,0.3,0.3,0.6,0.6,0.6,0.6,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
